GLOBALEVENTID	EventTimeDate	MentionTimeDate	MentionType	MentionSourceName	MentionIdentifier	SentenceID	Actor1CharOffset	Actor2CharOffset	ActionCharOffset	InRawText	Confidence	MentionDocLen	MentionDocTone	MentionDocTranslationInfo	Extras
953586325	20201030121500	20201030121500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=29124	5	1031	1109	1011	0	20	2651	-3.74064837905236		
1055942941	20220727121500	20220727121500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=41192	2	667	686	700	0	20	1418	-7.85340314136126		
1055929523	20220727103000	20220727121500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=41192	3	755	817	767	0	40	1418	-7.85340314136126		
966400047	20210126210000	20210126210000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=30601	1	147	208	185	1	100	1909	-7.1917808219178		
991129436	20210620164500	20210620164500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=33219	4	997	-1	973	1	100	1991	-9.58904109589043		
991129293	20210620164500	20210620164500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=33219	3	-1	437	502	1	100	1991	-9.58904109589043		
1052392550	20220703164500	20220703164500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=40773	1	174	-1	276	0	40	1329	-9.41176470588231		
953586522	20201030121500	20201030121500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=29124	1	317	147	333	0	80	2651	-3.74064837905236		
978587000	20210407173000	20210407173000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=31858	14	2531	-1	2484	0	80	2906	-10.2449888641425		
953586326	20201030121500	20201030121500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=29124	5	1031	-1	1011	0	40	2651	-3.74064837905236		
617403662	20170116000000	20170116084500	1	saps.gov.za	http://www.saps.gov.za/newsroom/msspeechdetail.php?nid=9915	3	-1	632	644	1	100	1081	-5.88235294117647		
1052392542	20220703164500	20220703164500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=40773	1	267	-1	276	0	20	1329	-9.41176470588231		
1049061850	20220612201500	20220612201500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=40402	6	1682	1741	1689	0	40	5905	-7.29281767955801		
953588480	20201030121500	20201030121500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=29124	1	147	-1	312	1	20	2651	-3.74064837905236		
