GLOBALEVENTID	SQLDATE	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_FullName	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_FullName	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_FullName	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	DATEADDED	SOURCEURL
1017425072	20211203	202112	2021	2021.9123	MDV	MALE	MDV																		1	173	173	17	4	-5.0	10	1	10	-5.30973451327434	4	Cloetesville, Western Cape, South Africa	SF	SF11	77338	-33.9124	18.8551	-1218148	0								4	Cloetesville, Western Cape, South Africa	SF	SF11	77338	-33.9124	18.8551	-1218148	20211203190000	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=36721
1017731839	20211206	202112	2021	2021.9205	AUSCVL	VICTORIA	AUS					CVL			ZAF	CAPE TOWN	ZAF								1	190	190	19	4	-10.0	2	1	2	-8.8	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20211206093000	http://www.groundup.org.za/article/victoria-mxenge-residents-dream-christmas-without-stench-raw-sewage/
1017425533	20211203	202112	2021	2021.9123	ZAF	WESTERN CAPE	ZAF								AFR	AFRICA	AFR								1	080	080	08	2	5.0	4	1	4	-5.30973451327434	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	4	Stellenbosch, Western Cape, South Africa	SF	SF11	77338	-33.9346	18.8668	-1287082	4	Stellenbosch, Western Cape, South Africa	SF	SF11	77338	-33.9346	18.8668	-1287082	20211203190000	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=36721
624616076	20170206	201702	2017	2017.0986	SOMCVL	SOMALI	SOM					CVL			SOM	SOMALI	SOM								1	190	190	19	4	-10.0	1	1	1	-6.37813211845102	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20170206104500	http://www.iol.co.za:80/news/crime-courts/somali-robberies-killings-not-xenophobia-7631910
690518295	20170918	201709	2017	2017.7068	NZL	WELLINGTON	NZL								COP	POLICE						COP			1	182	182	18	4	-9.5	2	1	2	-5.26315789473685	4	Nyanga, Western Cape, South Africa	SF	SF11	77317	-33.9875	18.5855	-1268386	4	Nyanga, Western Cape, South Africa	SF	SF11	77317	-33.9875	18.5855	-1268386	4	Nyanga, Western Cape, South Africa	SF	SF11	77317	-33.9875	18.5855	-1268386	20170918090000	http://www.news24.com/SouthAfrica/News/flames-rubber-bullets-mark-cape-town-taxistrike-20170918
681972424	20170817	201708	2017	2017.6219	COP	POLICE						COP													1	010	010	01	1	0.0	10	1	10	-5.15759312320917	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	0								4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20170817113000	https://www.iol.co.za/capeargus/watch-tearful-farewell-for-murdered-aviwejamjam-10830319
678405451	20170803	201708	2017	2017.5836	AFR	AFRICA	AFR																		0	1723	172	17	4	-5.0	6	1	6	-7.90960451977401	4	Marikana, North-West, South Africa	SF	SF10	77346	-25.5833	27.5667	-1257430	0								4	Marikana, North-West, South Africa	SF	SF10	77346	-25.5833	27.5667	-1257430	20170803164500	http://www.dailysun.co.za/News/National/side-street-short-cut-of-death-20170802
629283269	20170220	201702	2017	2017.137	GOV	GOVERNMENT						GOV													0	110	110	11	3	-2.0	10	1	10	-6.4804469273743	1	Somalia	SO	SO		10.0	49.0	SO	0								1	Somalia	SO	SO		10.0	49.0	SO	20170220063000	http://www.thenewage.co.za/somali-nationals-live-in-fear/
628437937	20170217	201702	2017	2017.1288											AFR	AFRICA	AFR								1	190	190	19	4	-10.0	2	1	2	-4.82456140350877	0								4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20170217051500	http://www.iol.co.za/news/crime-courts/body-in-drain-bongiwe-nininis-mom-breaks-silence-7802581
1027646770	20220210	202202	2022	2022.1096	UAF	GUNMAN						UAF													0	193	193	19	4	-10.0	6	1	6	-6.63430420711974	4	Du Noon, Western Cape, South Africa	SF	SF11	77317	-33.8184	18.5422	-1224874	0								4	Du Noon, Western Cape, South Africa	SF	SF11	77317	-33.8184	18.5422	-1224874	20220210183000	https://www.news24.com/news24/SouthAfrica/News/joe-slovo-taxi-rank-mass-shooting-accused-gets-r10-000-bail-20220210
1022784020	20220111	202201	2022	2022.0301	REL	BISHOP																			0	026	026	02	1	4.0	6	1	6	0.15117157974301	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	0								4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20220111184500	https://www.dailymaverick.co.za/article/2022-01-11-remembering-desmond-tutu-the-flint-we-used-to-light-up-the-pathway-of-peace/
1019074922	20211214	202112	2021	2021.9425	ZAF	CAPE TOWN	ZAF																		1	193	193	19	4	-10.0	2	1	2	-8.03324099722992	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	0								4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20211214130000	https://www.news24.com/news24/southafrica/news/three-men-killed-in-cape-town-shooting-20211214
1020102798	20211221	202112	2021	2021.9616	CRM	GANG						CRM			AFR	AFRICA	AFR								1	190	190	19	4	-10.0	4	1	4	-7.57575757575758	4	Grassy Park, Western Cape, South Africa	SF	SF11	77317	-34.0472	18.4986	-1232855	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	Grassy Park, Western Cape, South Africa	SF	SF11	77317	-34.0472	18.4986	-1232855	20211221093000	https://ewn.co.za/2021/12/21/police-probe-triple-murder-in-grassy-park
1020102799	20211221	202112	2021	2021.9616	CRM	GANG						CRM			AFR	AFRICA	AFR								1	190	190	19	4	-10.0	4	1	4	-7.57575757575758	4	Grassy Park, Western Cape, South Africa	SF	SF11	77317	-34.0472	18.4986	-1232855	4	Grassy Park, Western Cape, South Africa	SF	SF11	77317	-34.0472	18.4986	-1232855	4	Grassy Park, Western Cape, South Africa	SF	SF11	77317	-34.0472	18.4986	-1232855	20211221093000	https://ewn.co.za/2021/12/21/police-probe-triple-murder-in-grassy-park
